,fold,act_grade,0,1,2,3
0,0,0,20,150,115,5
1,0,1,95,385,590,230
2,0,2,0,675,170,250
3,0,3,45,5,355,10
4,1,0,0,25,215,15
5,1,1,25,335,880,65
6,1,2,5,515,280,300
7,1,3,0,30,310,60
8,2,0,40,125,55,0
9,2,1,50,535,635,104
10,2,2,15,85,820,175
11,2,3,0,10,380,0
12,3,0,90,80,15,0
13,3,1,125,290,745,105
14,3,2,415,230,180,265
15,3,3,45,100,130,90
16,4,0,55,30,170,0
17,4,1,65,880,300,20
18,4,2,105,885,65,30
19,4,3,9,223,135,80
20,sum_folds,0,205.0,410.0,570.0,20.0
21,sum_folds,1,360.0,2425.0,3150.0,524.0
22,sum_folds,2,540.0,2390.0,1515.0,1020.0
23,sum_folds,3,99.0,368.0,1310.0,240.0
