,fold,phase,epoch,loss,accuracy
0,0,train,0,1.4155510250790662,12.67
1,0,val,0,1.4120069410383087,3.39
2,0,train,1,1.4015633344333644,13.58
3,0,val,1,1.446582273724153,7.74
4,0,train,2,1.3825753011393198,29.82
5,0,val,2,1.4545301672109623,30.0
6,0,train,3,1.372070081522107,19.61
7,0,val,3,1.4188869681554972,20.0
8,0,train,4,1.3498952189289717,14.37
9,0,val,4,1.4541311497540819,14.03
10,0,train,5,1.3380333539024292,22.01
11,0,val,5,1.291542424369104,29.03
12,0,train,6,1.3080262355753782,17.34
13,0,val,6,1.3585771604911567,23.55
14,0,train,7,1.2808356421243938,16.53
15,0,val,7,1.4747603326728664,22.1
16,0,train,8,1.237099664461407,29.85
17,0,val,8,1.1306308209896088,35.48
18,0,train,9,1.2035365180665278,26.77
19,0,val,9,1.2586611773549896,31.77
20,0,train,10,1.1576866447371474,37.45
21,0,val,10,1.0564111053329153,36.29
22,0,train,11,1.1363896756849758,35.48
23,0,val,11,1.180018059371673,28.39
24,0,train,12,1.1154336975231904,38.16
25,0,val,12,1.2900292504694044,32.58
26,0,train,13,1.078000121699228,42.54
27,0,val,13,1.6460800656338328,20.16
28,0,train,14,1.0502799695943932,41.22
29,0,val,14,1.311746822190039,25.48
30,0,train,15,1.020931227273675,45.31
31,0,val,15,1.5853974739300836,22.26
32,0,train,16,0.9866695650624405,47.97
33,0,val,16,1.4565917616037978,24.19
34,0,train,17,0.9532670457841232,43.02
35,0,val,17,1.3634505662106977,24.84
36,0,train,18,0.9131908389834927,51.36
37,0,val,18,1.61574526760996,20.16
38,0,train,19,0.8755420070007978,59.21
39,0,val,19,1.8876578780179172,20.97
40,0,train,20,0.863538641339121,57.44
41,0,val,20,1.8046316476826816,19.68
42,0,train,21,0.8280153365170022,61.25
43,0,val,21,2.113382788048577,16.13
44,0,train,22,0.7963883529304666,62.49
45,0,val,22,1.9484732934494609,20.81
46,0,train,23,0.765011030878837,66.51
47,0,val,23,2.3006607515295756,20.0
48,0,train,24,0.7362209421348762,65.24
49,0,val,24,2.1035183941580584,20.97
50,0,train,25,0.7190369494843135,63.48
51,0,val,25,2.179599189266716,18.87
52,0,train,26,0.6914749216352643,70.48
53,0,val,26,2.1237512313828026,19.84
54,0,train,27,0.6438969936899613,66.81
55,0,val,27,2.2182509512016453,17.1
56,0,train,28,0.6097738787749533,72.83
57,0,val,28,2.2995262757404564,19.52
58,0,train,29,0.5869058630024769,75.48
59,0,val,29,2.7317709753808286,15.48
60,0,train,30,0.5570689005601612,73.94
61,0,val,30,2.4992860048702084,15.48
62,0,train,31,0.5305575241011927,75.95
63,0,val,31,2.946869920823992,23.39
64,0,train,32,0.4777042279898091,83.31
65,0,val,32,3.0161438737947917,17.1
66,0,train,33,0.46779143796419875,83.22
67,0,val,33,2.9559343801331273,16.94
68,0,train,34,0.4377634220597041,78.65
69,0,val,34,4.36704685393068,21.61
70,0,train,35,0.4070313055053413,84.57
71,0,val,35,2.8340722254871094,14.68
72,0,train,36,0.38425622762713935,85.97
73,0,val,36,3.3355428846841004,17.26
74,0,train,37,0.3633356292399356,86.7
75,0,val,37,3.766993902393223,22.9
76,0,train,38,0.35002151985527824,86.06
77,0,val,38,3.2003094578526685,20.48
78,0,train,39,0.33516191321104805,88.07
79,0,val,39,3.046291469298687,23.23
80,0,train,40,0.3122334379683017,88.44
81,0,val,40,2.902715576063726,16.94
82,0,train,41,0.3020284936514746,90.78
83,0,val,41,3.772832283039683,18.55
84,0,train,42,0.2916760099074676,85.63
85,0,val,42,3.33954612557421,27.74
86,0,train,43,0.2738902634022087,86.31
87,0,val,43,2.7757856882724568,17.26
88,0,train,44,0.26001961552259695,91.15
89,0,val,44,3.1720531840914306,18.87
90,1,train,0,1.4115754318615747,15.89
91,1,val,0,1.427005957191189,24.02
92,1,train,1,1.3937896695086565,19.16
93,1,val,1,1.4328940492123365,33.01
94,1,train,2,1.3798611689181555,31.09
95,1,val,2,1.5144110657274723,16.18
96,1,train,3,1.3470368130654884,30.94
97,1,val,3,1.8288678868363302,21.08
98,1,train,4,1.3057427322738384,40.96
99,1,val,4,2.077171118929982,27.94
100,1,train,5,1.2425234596880654,27.19
101,1,val,5,1.6000633913402755,15.36
102,1,train,6,1.2063463743401583,28.36
103,1,val,6,1.7619165070354939,16.01
104,1,train,7,1.1834470081739326,37.21
105,1,val,7,2.2407703542461,14.54
106,1,train,8,1.1471592706268428,41.11
107,1,val,8,1.8421438224613667,17.48
108,1,train,9,1.1306464421370672,33.65
109,1,val,9,1.7141629811376333,12.75
110,1,train,10,1.109442712768676,33.04
111,1,val,10,1.5287038180977106,21.08
112,1,train,11,1.0900380134424836,39.21
113,1,val,11,1.694670553940038,26.14
114,1,train,12,1.0734396753093554,44.46
115,1,val,12,1.7720100386068225,33.33
116,1,train,13,1.0656478428651417,42.87
117,1,val,13,1.5506999225666125,33.66
118,1,train,14,1.03265262004875,38.95
119,1,val,14,1.355618590178589,28.92
120,1,train,15,1.015035480260849,40.93
121,1,val,15,1.8512658185015123,28.59
122,1,train,16,1.0017767412558434,42.37
